task_id,model_id,rule_id,run_id,score,comment
task_004,claude-sonnet,default,c03e5f3d-f584-44bb-8c06-634840695369,,
task_010,claude-sonnet,default,cbb82d3d-ff37-4aac-bdf6-38942082d7e2,,
task_010,gpt-4o-mini,default,ccfcbd31-a204-457d-bd44-619b70c62e95,,
task_001,gpt-4o-mini,default,d4a41e86-169b-4ccc-ab89-ff9d0a0a4f40,,
task_009,gpt-4o,minimal,d639d7db-eef5-475b-bb68-3c42d0e86ca7,,
task_004,gpt-4o,default,db2776c7-8de1-4a93-b01f-220e52adacd0,,
task_007,gpt-4o,minimal,dd06fa3a-0aff-416d-b3d1-e343cb11e83b,,
task_009,gpt-4o,strict-style,df625653-4d87-4d38-b247-f5e455966cff,,
task_009,gpt-4o-mini,minimal,e043c7b7-e8c6-497e-985a-0f809b4ca859,,
task_002,gpt-4o-mini,default,e27d3509-2c32-4a32-851b-d15633f8d1cf,,
task_008,claude-sonnet,strict-style,e7bc90c5-c800-4ec7-b547-8a0f6a8f5f96,,
task_002,gpt-4o,default,e9e6ef34-2f45-49ea-acdb-0e0641ed90cb,,
task_010,gpt-4o,minimal,eb800a24-560a-41bd-87b3-794016b04a3b,,
task_003,gpt-4o-mini,default,f2f1ea77-7efa-4c13-a250-89f87a783491,,
task_001,gpt-4o,strict-style,f309b9b7-f500-4607-97d5-2d00300e7edb,,
task_008,claude-sonnet,minimal,fc976f01-c708-4037-a3fc-97a287c2858d,,
task_009,claude-sonnet,default,fec35500-8ba5-4fbf-b78e-ed4adc66d4f7,,
task_001,gpt-4o-mini,default,sample_run_001,,
task_002,gpt-4o-mini,minimal,sample_run_002,,
